latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.42355,5.533454,23.0,0,GMT,GMT

time,temperature_2m (°C),weather_code (wmo code),cloud_cover (%),precipitation (mm),wind_speed_10m (km/h),sunshine_duration (s)
2022-01-01T00:00,12.8,3,100,0.00,14.9,0.00
2022-01-01T01:00,12.6,3,100,0.00,15.5,0.00
2022-01-01T02:00,11.9,3,100,0.00,15.1,0.00
2022-01-01T03:00,11.4,3,100,0.00,14.0,0.00
2022-01-01T04:00,11.1,3,100,0.00,14.6,0.00
2022-01-01T05:00,10.7,3,100,0.00,14.6,0.00
2022-01-01T06:00,10.9,3,100,0.00,14.9,0.00
2022-01-01T07:00,11.2,3,100,0.00,13.8,0.00
2022-01-01T08:00,10.4,3,100,0.00,12.7,0.00
2022-01-01T09:00,11.0,3,100,0.00,13.7,0.00
2022-01-01T10:00,12.1,3,100,0.00,12.6,0.00
2022-01-01T11:00,12.9,3,99,0.00,12.3,1329.17
2022-01-01T12:00,13.3,3,89,0.00,12.8,3600.00
2022-01-01T13:00,13.2,3,99,0.00,11.4,1735.28
2022-01-01T14:00,13.2,3,100,0.00,14.3,401.17
2022-01-01T15:00,12.6,3,99,0.00,14.9,0.00
2022-01-01T16:00,12.0,3,100,0.00,15.2,0.00
2022-01-01T17:00,11.7,3,100,0.00,15.5,0.00
2022-01-01T18:00,11.7,3,100,0.00,15.3,0.00
2022-01-01T19:00,11.7,3,100,0.00,15.6,0.00
2022-01-01T20:00,11.8,3,100,0.00,16.6,0.00
2022-01-01T21:00,11.5,3,100,0.00,16.4,0.00
2022-01-01T22:00,11.4,3,100,0.00,17.3,0.00
2022-01-01T23:00,11.2,3,100,0.00,16.4,0.00
2022-01-02T00:00,11.9,3,100,0.00,18.4,0.00
2022-01-02T01:00,12.1,51,100,0.30,18.3,0.00
2022-01-02T02:00,12.1,53,100,0.60,17.3,0.00
2022-01-02T03:00,12.1,3,100,0.00,15.7,0.00
2022-01-02T04:00,11.9,51,100,0.10,17.2,0.00
2022-01-02T05:00,11.5,51,100,0.20,18.8,0.00
2022-01-02T06:00,11.3,51,100,0.10,20.5,0.00
2022-01-02T07:00,11.4,3,100,0.00,21.3,0.00
2022-01-02T08:00,10.9,55,100,1.10,23.7,0.00
2022-01-02T09:00,11.0,51,38,0.30,24.3,0.00
2022-01-02T10:00,11.8,0,9,0.00,24.7,3600.00
2022-01-02T11:00,12.6,1,40,0.00,25.6,3600.00
2022-01-02T12:00,13.0,1,31,0.00,22.5,3600.00
2022-01-02T13:00,13.1,1,48,0.00,21.4,3600.00
2022-01-02T14:00,12.5,51,99,0.10,21.7,3600.00
2022-01-02T15:00,11.7,51,99,0.10,18.4,1790.07
2022-01-02T16:00,11.4,51,95,0.10,20.2,0.00
2022-01-02T17:00,10.8,51,76,0.20,19.9,0.00
2022-01-02T18:00,9.8,61,100,1.50,20.8,0.00
2022-01-02T19:00,10.4,61,100,1.60,24.2,0.00
2022-01-02T20:00,10.4,61,100,1.70,28.0,0.00
2022-01-02T21:00,10.2,53,97,0.80,32.4,0.00
