year,month,day,temp_category,precip_category,cloud_cover_category,wind_speed_category,sunshine_category,state1
2013,1,21,Low,Medium,Medium,Low,Medium,Low-Medium
2013,1,22,Low,Low,Medium,Low,Medium,Low-Low
2013,1,23,Low,Low,Low,Low,High,Low-Low
2013,1,24,Low,Low,Medium,Low,Medium,Low-Low
2013,1,25,Low,Low,Medium,Low,Medium,Low-Low
2013,1,26,Low,Medium,High,Medium,Low,Low-Medium
2013,1,27,Medium,High,High,High,Low,Medium-High
2013,1,28,Medium,Medium,Medium,High,Medium,Medium-Medium
2013,1,29,High,High,High,High,Low,High-High
2013,1,30,High,High,Low,High,Medium,High-High
2013,1,31,High,High,Medium,High,Medium,High-High
2014,1,1,High,High,Medium,High,Medium,High-High
2014,1,2,High,High,Low,High,Medium,High-High
2014,1,3,High,High,Low,High,Medium,High-High
2014,1,4,High,Medium,Medium,High,Low,High-Medium
2014,1,5,High,Medium,Medium,High,High,High-Medium
2014,1,6,High,High,Medium,High,Medium,High-High
2014,1,7,High,Low,Low,High,High,High-Low
2014,1,8,High,High,High,Medium,Medium,High-High
2014,1,9,High,High,Medium,High,Low,High-High
2014,1,10,High,Low,Low,Medium,High,High-Low
2014,1,11,Medium,Medium,Low,Medium,Medium,Medium-Medium
2014,1,12,Medium,Low,Low,Low,High,Medium-Low
2014,1,13,High,Low,Low,Medium,High,High-Low
2014,1,14,Medium,Medium,Medium,Low,Low,Medium-Medium
2014,1,15,Medium,High,High,Medium,Low,Medium-High
2014,1,16,High,High,Medium,High,Low,High-High
2014,1,17,High,High,Medium,High,Medium,High-High
2014,1,18,High,Low,High,Medium,High,High-Low
2014,1,19,High,Medium,High,Low,Medium,High-Medium
2014,1,20,Medium,High,High,Low,Low,Medium-High
2014,1,21,Medium,Low,High,Low,Medium,Medium-Low
2014,1,22,Medium,Low,High,Low,Medium,Medium-Low
2014,1,23,Medium,High,High,Medium,Low,Medium-High
2014,1,24,Medium,Low,Low,Low,High,Medium-Low
2014,1,25,Medium,High,High,Medium,Low,Medium-High
2014,1,26,Medium,High,Medium,High,Medium,Medium-High
2014,1,27,Medium,Medium,Medium,High,High,Medium-Medium
2014,1,28,Medium,Low,Low,High,Medium,Medium-Low
2014,1,29,Medium,Low,Medium,High,High,Medium-Low
2014,1,30,Medium,Low,Medium,Low,High,Medium-Low
2014,1,31,Medium,Low,Low,Medium,High,Medium-Low
2015,1,1,Low,Low,Low,High,High,Low-Low
2015,1,2,High,High,Low,High,Medium,High-High
2015,1,3,Medium,High,High,Medium,Low,Medium-High
2015,1,4,Medium,Low,Low,Medium,High,Medium-Low
2015,1,5,Low,Low,Low,Low,High,Low-Low
2015,1,6,Low,Low,Medium,Medium,Medium,Low-Low
2015,1,7,Medium,Low,Low,Medium,High,Medium-Low
2015,1,8,High,High,Medium,High,Low,High-High
2015,1,9,High,High,High,High,Low,High-High
2015,1,10,High,High,High,High,Low,High-High
2015,1,11,Medium,Medium,Medium,High,High,Medium-Medium
2015,1,12,High,Low,High,High,Low,High-Low
2015,1,13,High,High,Medium,High,Low,High-High
2015,1,14,Medium,High,Medium,High,Medium,Medium-High
2015,1,15,High,High,High,High,Low,High-High
2015,1,16,Medium,Medium,Low,Medium,Medium,Medium-Medium
2015,1,17,Medium,Medium,Low,Medium,High,Medium-Medium
2015,1,18,Medium,High,High,Medium,Low,Medium-High
2015,1,19,Low,High,High,Low,Low,Low-High
2015,1,20,Low,Low,Medium,Low,Medium,Low-Low
2015,1,21,Low,Low,Medium,Low,High,Low-Low
2015,1,22,Low,Low,Medium,Low,Medium,Low-Low
2015,1,23,Low,Low,Medium,Low,High,Low-Low
2015,1,24,Low,High,Low,Medium,Medium,Low-High
2015,1,25,Medium,Medium,Medium,Low,Low,Medium-Medium
2015,1,26,Medium,High,Medium,Medium,Low,Medium-High
2015,1,27,Medium,Medium,Low,Medium,Medium,Medium-Medium
2015,1,28,Medium,High,Medium,High,Low,Medium-High
2015,1,29,Medium,High,Medium,High,High,Medium-High
2015,1,30,Low,Medium,Medium,Medium,High,Low-Medium
2015,1,31,Low,Medium,Low,Low,High,Low-Medium
2016,1,1,High,Low,Medium,Medium,High,High-Low
2016,1,2,High,High,High,Medium,Medium,High-High
2016,1,3,High,High,High,High,Medium,High-High
2016,1,4,High,High,High,Medium,Low,High-High
2016,1,5,High,Medium,Medium,Medium,Medium,High-Medium
2016,1,6,Medium,Medium,Medium,Low,Medium,Medium-Medium
2016,1,7,Medium,High,Medium,High,Low,Medium-High
2016,1,8,Medium,Low,Low,Medium,High,Medium-Low
2016,1,9,High,High,Medium,Medium,High,High-High
2016,1,10,High,High,Medium,High,High,High-High
2016,1,11,Medium,High,High,Medium,Low,Medium-High
2016,1,12,Medium,Medium,Medium,High,High,Medium-Medium
2016,1,13,Medium,High,Medium,High,High,Medium-High
2016,1,14,Medium,High,High,High,Medium,Medium-High
2016,1,15,Medium,Medium,Medium,Medium,Medium,Medium-Medium
2016,1,16,Low,Medium,Low,Medium,High,Low-Medium
2016,1,17,Low,Low,Low,Low,High,Low-Low
2016,1,18,Low,Low,Medium,Low,High,Low-Low
2016,1,19,Low,Low,Low,Low,High,Low-Low
2016,1,20,Low,Medium,Low,Low,High,Low-Medium
2016,1,21,Low,Low,Medium,Low,Low,Low-Low
2016,1,22,Low,High,Low,Medium,High,Low-High
2016,1,23,High,Low,Low,Medium,Medium,High-Low
2016,1,24,High,Medium,High,Medium,Low,High-Medium
2016,1,25,High,Low,Low,Medium,High,High-Low
2016,1,26,High,High,Medium,High,Medium,High-High
2016,1,27,High,High,High,High,Low,High-High
2016,1,28,High,High,Low,Medium,High,High-High
2016,1,29,High,Medium,Medium,High,Low,High-Medium
2016,1,30,High,High,Medium,High,Low,High-High
2016,1,31,High,High,High,High,Low,High-High
2017,1,1,Low,Medium,High,Medium,Low,Low-Medium
2017,1,2,Low,High,Low,Low,High,Low-High
