latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.42355,5.533454,23.0,0,GMT,GMT

time,temperature_2m (°C),weather_code (wmo code),cloud_cover (%),precipitation (mm),wind_speed_10m (km/h),sunshine_duration (s)
2020-01-01T00:00,2.7,2,59,0.00,9.5,0.00
2020-01-01T01:00,2.8,1,39,0.00,8.8,0.00
2020-01-01T02:00,1.7,0,14,0.00,8.6,0.00
2020-01-01T03:00,1.1,0,14,0.00,9.3,0.00
2020-01-01T04:00,0.6,0,18,0.00,8.9,0.00
2020-01-01T05:00,0.2,1,21,0.00,8.7,0.00
2020-01-01T06:00,-0.1,0,16,0.00,9.2,0.00
2020-01-01T07:00,-0.8,0,12,0.00,7.9,0.00
2020-01-01T08:00,-1.3,0,8,0.00,7.3,0.00
2020-01-01T09:00,-0.4,0,7,0.00,7.4,2038.08
2020-01-01T10:00,1.0,0,3,0.00,6.2,3600.00
2020-01-01T11:00,2.7,0,1,0.00,6.2,3600.00
2020-01-01T12:00,3.1,0,0,0.00,6.5,3600.00
2020-01-01T13:00,3.4,3,100,0.00,7.6,1982.51
2020-01-01T14:00,3.5,3,100,0.00,7.6,0.00
2020-01-01T15:00,3.5,3,100,0.00,7.9,0.00
2020-01-01T16:00,2.8,3,90,0.00,5.5,0.00
2020-01-01T17:00,1.9,1,20,0.00,5.0,0.00
2020-01-01T18:00,-0.1,0,7,0.00,7.1,0.00
2020-01-01T19:00,-0.4,1,38,0.00,6.2,0.00
2020-01-01T20:00,0.6,1,32,0.00,8.4,0.00
2020-01-01T21:00,1.2,3,100,0.00,10.6,0.00
2020-01-01T22:00,1.9,3,100,0.00,10.2,0.00
2020-01-01T23:00,2.1,3,100,0.00,8.9,0.00
2020-01-02T00:00,1.7,3,100,0.00,8.3,0.00
2020-01-02T01:00,1.6,3,98,0.00,8.5,0.00
2020-01-02T02:00,1.7,3,93,0.00,9.4,0.00
2020-01-02T03:00,1.7,3,93,0.00,9.4,0.00
2020-01-02T04:00,1.6,3,100,0.00,10.5,0.00
2020-01-02T05:00,2.0,3,100,0.00,9.0,0.00
2020-01-02T06:00,2.4,3,100,0.00,9.4,0.00
2020-01-02T07:00,2.7,3,100,0.00,9.5,0.00
2020-01-02T08:00,3.1,3,100,0.00,9.8,0.00
2020-01-02T09:00,3.8,3,100,0.00,10.2,0.00
2020-01-02T10:00,4.6,3,100,0.00,10.5,0.00
2020-01-02T11:00,5.6,3,100,0.00,10.1,0.00
2020-01-02T12:00,4.2,3,87,0.00,12.2,0.00
2020-01-02T13:00,4.9,3,100,0.00,12.0,0.00
2020-01-02T14:00,5.2,3,100,0.00,11.5,0.00
2020-01-02T15:00,5.9,3,100,0.00,13.9,0.00
2020-01-02T16:00,6.0,3,100,0.00,16.6,0.00
2020-01-02T17:00,5.9,3,97,0.00,17.6,0.00
2020-01-02T18:00,5.9,1,47,0.00,17.4,0.00
2020-01-02T19:00,5.3,2,70,0.00,17.0,0.00
2020-01-02T20:00,5.8,3,85,0.00,18.8,0.00
2020-01-02T21:00,6.5,3,99,0.00,19.4,0.00
2020-01-02T22:00,7.0,3,100,0.00,20.1,0.00
2020-01-02T23:00,7.1,3,100,0.00,19.3,0.00
2020-01-03T00:00,8.0,51,100,0.10,20.8,0.00
2020-01-03T01:00,8.2,3,100,0.00,21.7,0.00
2020-01-03T02:00,8.3,3,100,0.00,18.9,0.00
2020-01-03T03:00,8.4,51,100,0.10,20.1,0.00
2020-01-03T04:00,9.0,3,100,0.00,21.2,0.00
2020-01-03T05:00,8.6,3,100,0.00,18.7,0.00
2020-01-03T06:00,8.9,51,100,0.10,21.8,0.00
2020-01-03T07:00,8.9,51,100,0.10,23.8,0.00
2020-01-03T08:00,8.8,51,100,0.10,23.3,0.00
2020-01-03T09:00,8.8,51,100,0.40,24.7,0.00
2020-01-03T10:00,9.0,51,92,0.10,23.8,0.00
2020-01-03T11:00,9.7,51,98,0.30,24.4,0.00
2020-01-03T12:00,10.1,51,100,0.10,27.4,0.00
2020-01-03T13:00,9.9,53,100,0.50,25.7,998.16
2020-01-03T14:00,9.6,51,100,0.40,24.5,0.00
2020-01-03T15:00,9.6,51,100,0.30,22.7,0.00
2020-01-03T16:00,9.2,51,100,0.10,20.4,0.00
2020-01-03T17:00,7.8,3,100,0.00,21.1,0.00
2020-01-03T18:00,7.1,3,99,0.00,17.3,0.00
2020-01-03T19:00,6.9,2,50,0.00,15.8,0.00
2020-01-03T20:00,6.1,1,29,0.00,14.9,0.00
2020-01-03T21:00,4.4,2,73,0.00,10.5,0.00
2020-01-03T22:00,4.0,1,38,0.00,12.3,0.00
2020-01-03T23:00,3.9,3,93,0.00,12.6,0.00
2020-01-04T00:00,4.3,3,99,0.00,13.4,0.00
2020-01-04T01:00,4.0,0,5,0.00,12.9,0.00
2020-01-04T02:00,3.4,1,31,0.00,14.0,0.00
2020-01-04T03:00,3.3,3,94,0.00,15.6,0.00
2020-01-04T04:00,4.3,3,100,0.00,16.7,0.00
2020-01-04T05:00,4.5,3,96,0.00,16.8,0.00
2020-01-04T06:00,4.4,3,92,0.00,18.7,0.00
2020-01-04T07:00,4.9,3,100,0.00,19.8,0.00
2020-01-04T08:00,5.3,3,100,0.00,19.8,0.00
2020-01-04T09:00,5.6,3,100,0.00,20.4,0.00
2020-01-04T10:00,5.9,3,100,0.00,20.7,0.00
2020-01-04T11:00,6.3,3,100,0.00,18.7,0.00
2020-01-04T12:00,7.0,3,100,0.00,18.3,0.00
2020-01-04T13:00,7.2,51,100,0.20,20.6,0.00
2020-01-04T14:00,7.2,3,100,0.00,18.4,0.00
2020-01-04T15:00,7.1,3,100,0.00,18.4,0.00
2020-01-04T16:00,7.0,3,100,0.00,18.7,0.00
2020-01-04T17:00,6.9,3,100,0.00,18.4,0.00
2020-01-04T18:00,7.0,3,100,0.00,15.5,0.00
2020-01-04T19:00,6.9,51,100,0.10,14.2,0.00
2020-01-04T20:00,7.0,3,85,0.00,13.4,0.00
2020-01-04T21:00,6.7,51,92,0.10,13.0,0.00
2020-01-04T22:00,6.6,51,100,0.10,13.0,0.00
2020-01-04T23:00,6.9,51,80,0.40,13.3,0.00
2020-01-05T00:00,6.6,51,52,0.10,10.8,0.00
2020-01-05T01:00,6.2,3,91,0.00,9.6,0.00
2020-01-05T02:00,5.7,3,90,0.00,10.5,0.00
2020-01-05T03:00,5.6,3,95,0.00,9.7,0.00
2020-01-05T04:00,5.5,3,100,0.00,9.3,0.00
2020-01-05T05:00,5.4,3,96,0.00,10.5,0.00
2020-01-05T06:00,5.2,3,81,0.00,10.2,0.00
2020-01-05T07:00,4.8,2,79,0.00,9.9,0.00
2020-01-05T08:00,4.4,1,40,0.00,10.2,0.00
2020-01-05T09:00,4.5,1,40,0.00,11.2,1631.79
2020-01-05T10:00,5.2,0,8,0.00,11.2,3600.00
2020-01-05T11:00,6.1,0,5,0.00,11.2,3600.00
2020-01-05T12:00,7.4,0,11,0.00,12.8,3600.00
2020-01-05T13:00,7.6,2,63,0.00,13.1,3600.00
2020-01-05T14:00,7.4,1,48,0.00,11.2,3600.00
2020-01-05T15:00,6.8,2,68,0.00,10.7,3600.00
2020-01-05T16:00,6.3,3,93,0.00,11.0,0.00
2020-01-05T17:00,6.2,3,81,0.00,12.1,0.00
2020-01-05T18:00,5.8,2,55,0.00,12.2,0.00
2020-01-05T19:00,4.8,2,67,0.00,10.9,0.00
2020-01-05T20:00,4.7,3,94,0.00,9.9,0.00
2020-01-05T21:00,5.1,3,93,0.00,10.6,0.00
2020-01-05T22:00,5.3,3,100,0.00,11.6,0.00
2020-01-05T23:00,5.8,3,100,0.00,11.2,0.00
2020-01-06T00:00,6.5,3,96,0.00,12.3,0.00
2020-01-06T01:00,6.4,2,75,0.00,13.1,0.00
2020-01-06T02:00,5.5,2,73,0.00,12.1,0.00
2020-01-06T03:00,5.5,3,85,0.00,12.1,0.00
2020-01-06T04:00,5.6,3,87,0.00,12.6,0.00
2020-01-06T05:00,5.3,2,73,0.00,11.4,0.00
2020-01-06T06:00,4.7,2,57,0.00,11.7,0.00
2020-01-06T07:00,4.1,1,46,0.00,11.7,0.00
2020-01-06T08:00,3.5,1,41,0.00,10.9,0.00
2020-01-06T09:00,3.9,2,54,0.00,11.5,1808.02
2020-01-06T10:00,4.7,0,19,0.00,11.6,3600.00
